"Reference","Value","Datasheet","Footprint","Qty","DNP"
"Brd1","SSD1306","","SSD1306:128x64OLED","1",""
"D1,D2,D3,D4,D5,D6,D7,D8,D9","LED","~","LED_THT:LED_D3.0mm","9",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_3.2mm_M3_Pad","4",""
"J1","FPANEL","~","Connector_IDC:IDC-Header_2x20_P2.54mm_Horizontal","1",""
"J2","TTL SERIAL","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J3","MICRO SD CARD","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1",""
"J4","TTL Serial to WiFi Enable","~","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","1",""
"J5","Micro_SD_Card","https://www.we-online.com/components/products/datasheet/693072010801.pdf","Connector_Card:SD_Hirose_DM1AA_SF_PEJ82","1",""
"R1,R2","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R6,RN1","470","-- mixed values --","-- mixed values --","2",""
"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW10,SW11,SW12","SW_SPDT","~","SW_Toggle_Blue_wSlots:SW_Toggle_Blue_wSlots","11",""
"SW9","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","74LS240","http://www.ti.com/lit/ds/symlink/sn74ls240.pdf","Package_DIP:DIP-20_W7.62mm","1",""
"U2","ESP32-S3-DevKitC","","Custom:ESP32S3Devkit3Universal","1",""
"U3,U4","~","","Custom:HV-LV","2",""
"U5","LP2950-3.3_TO92","http://www.ti.com/lit/ds/symlink/lp2950.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
